date,club,country,elo
2000-07-01,Aachen,GER,1453.6
2000-07-01,Adanaspor,TUR,1380.76
2000-07-01,Ajaccio,FRA,1470.87
2000-07-01,Alaves,ESP,1773.22
2000-07-01,Albacete,ESP,1578.79
2000-07-01,Altay,TUR,1353.97
2000-07-01,Amiens,FRA,1414.93
2000-07-01,Antalyaspor,TUR,1370.64
2000-07-01,Arsenal,ENG,1871.66
2000-07-01,Aston Villa,ENG,1728.15
2000-07-01,Atalanta,ITA,1631.75
2000-07-01,Ath Bilbao,ESP,1778.66
2000-07-01,Ath Madrid,ESP,1713.55
2000-07-01,Auxerre,FRA,1635.58
2000-07-01,Barcelona,ESP,1887.37
2000-07-01,Bari,ITA,1659.61
2000-07-01,Bastia,FRA,1656.37
2000-07-01,Bayern Munich,GER,1867.24
2000-07-01,Besiktas,TUR,1617.19
2000-07-01,Betis,ESP,1711.35
2000-07-01,Bielefeld,GER,1600.83
2000-07-01,Birmingham,ENG,1560.75
2000-07-01,Blackburn,ENG,1527.02
2000-07-01,Bochum,GER,1587.32
2000-07-01,Bologna,ITA,1705.3
2000-07-01,Bolton,ENG,1574.41
2000-07-01,Bordeaux,FRA,1734.34
2000-07-01,Bradford,ENG,1578.67
2000-07-01,Brescia,ITA,1618.26
2000-07-01,Bursaspor,TUR,1375.3
2000-07-01,Caen,FRA,1521.6
2000-07-01,Cagliari,ITA,1606.65
2000-07-01,Celta,ESP,1810.33
2000-07-01,Cesena,ITA,1543.18
2000-07-01,Charlton,ENG,1608.72
2000-07-01,Chelsea,ENG,1800.12
2000-07-01,Chievo,ITA,1535.41
2000-07-01,Cordoba,ESP,1540.15
2000-07-01,Cottbus,GER,1547.35
2000-07-01,Coventry,ENG,1635.56
2000-07-01,Crystal Palace,ENG,1461.2
2000-07-01,Denizlispor,TUR,1365.52
2000-07-01,Derby,ENG,1636.03
2000-07-01,Dortmund,GER,1646.19
2000-07-01,Duisburg,GER,1553.58
2000-07-01,Eibar,ESP,1576.33
2000-07-01,Ein Frankfurt,GER,1643.06
2000-07-01,Elche,ESP,1531.62
2000-07-01,Empoli,ITA,1559.98
2000-07-01,Erzurumspor,TUR,1340.97
2000-07-01,Espanol,ESP,1785.89
2000-07-01,Everton,ENG,1685.5
2000-07-01,FC Koln,GER,1580.98
2000-07-01,Fenerbahce,TUR,1558.18
2000-07-01,Fiorentina,ITA,1805.0
2000-07-01,Freiburg,GER,1618.1
2000-07-01,Fulham,ENG,1487.33
2000-07-01,Galatasaray,TUR,1766.41
2000-07-01,Gaziantepspor,TUR,1494.91
2000-07-01,Genclerbirligi,TUR,1478.22
2000-07-01,Genoa,ITA,1595.12
2000-07-01,Getafe,ESP,1502.74
2000-07-01,Goztep,TUR,1264.1
2000-07-01,Greuther Furth,GER,1512.87
2000-07-01,Guingamp,FRA,1578.51
2000-07-01,Hamburg,GER,1716.3
2000-07-01,Hannover,GER,1504.93
2000-07-01,Hansa Rostock,GER,1631.68
2000-07-01,Hertha,GER,1663.24
2000-07-01,Huddersfield,ENG,1495.81
2000-07-01,Inter,ITA,1794.38
2000-07-01,Ipswich,ENG,1638.03
2000-07-01,Istanbulspor,TUR,1386.25
2000-07-01,Juventus,ITA,1852.32
2000-07-01,Kaiserslautern,GER,1669.8
2000-07-01,Karlsruhe,GER,1446.97
2000-07-01,Kocaelispor,TUR,1384.14
2000-07-01,La Coruna,ESP,1844.94
2000-07-01,Las Palmas,ESP,1652.88
2000-07-01,Lazio,ITA,1894.08
2000-07-01,Le Havre,FRA,1578.0
2000-07-01,Le Mans,FRA,1477.89
2000-07-01,Lecce,ITA,1635.02
2000-07-01,Leeds,ENG,1782.38
2000-07-01,Leganes,ESP,1572.61
2000-07-01,Leicester,ENG,1687.84
2000-07-01,Lens,FRA,1730.89
2000-07-01,Levante,ESP,1549.41
2000-07-01,Leverkusen,GER,1822.45
2000-07-01,Lille,FRA,1630.81
2000-07-01,Liverpool,ENG,1770.1
2000-07-01,Lorient,FRA,1491.14
2000-07-01,Lyon,FRA,1702.6
2000-07-01,Mainz,GER,1504.53
2000-07-01,Malaga,ESP,1736.42
2000-07-01,Mallorca,ESP,1800.35
2000-07-01,Man City,ENG,1579.94
2000-07-01,Man United,ENG,1931.9
2000-07-01,Marseille,FRA,1686.34
2000-07-01,Metz,FRA,1673.11
2000-07-01,MGladbach,GER,1580.48
