date,club,country,elo
2015-01-01,Ajaccio,FRA,1455.48
2015-01-01,Akhisar Belediyespor,TUR,1458.69
2015-01-01,Alaves,ESP,1544.45
2015-01-01,Albacete,ESP,1468.46
2015-01-01,Almeria,ESP,1648.65
2015-01-01,Angers,FRA,1460.72
2015-01-01,Arles,FRA,1335.43
2015-01-01,Arsenal,ENG,1857.14
2015-01-01,Aston Villa,ENG,1618.71
2015-01-01,Atalanta,ITA,1564.83
2015-01-01,Ath Bilbao,ESP,1777.58
2015-01-01,Ath Madrid,ESP,1961.06
2015-01-01,Augsburg,GER,1718.29
2015-01-01,Auxerre,FRA,1439.54
2015-01-01,Balikesirspor,TUR,1397.43
2015-01-01,Barcelona,ESP,2018.16
2015-01-01,Bari,ITA,1407.0
2015-01-01,Bastia,FRA,1533.85
2015-01-01,Bayern Munich,GER,2060.95
2015-01-01,Besiktas,TUR,1679.68
2015-01-01,Betis,ESP,1652.75
2015-01-01,Birmingham,ENG,1441.31
2015-01-01,Blackburn,ENG,1522.55
2015-01-01,Blackpool,ENG,1349.73
2015-01-01,Bochum,GER,1438.89
2015-01-01,Bologna,ITA,1500.41
2015-01-01,Bolton,ENG,1491.34
2015-01-01,Bordeaux,FRA,1616.88
2015-01-01,Bournemouth,ENG,1580.61
2015-01-01,Braunschweig,GER,1559.5
2015-01-01,Brentford,ENG,1482.44
2015-01-01,Brescia,ITA,1390.88
2015-01-01,Brest,FRA,1529.85
2015-01-01,Brighton,ENG,1478.91
2015-01-01,Burnley,ENG,1592.34
2015-01-01,Bursaspor,TUR,1555.38
2015-01-01,Buyuksehyr,TUR,1510.95
2015-01-01,Caen,FRA,1506.92
2015-01-01,Cagliari,ITA,1545.8
2015-01-01,Cardiff,ENG,1488.96
2015-01-01,Carpi,ITA,1498.2
2015-01-01,Catania,ITA,1444.65
2015-01-01,Celta,ESP,1724.27
2015-01-01,Cesena,ITA,1442.74
2015-01-01,Charlton,ENG,1452.91
2015-01-01,Chelsea,ENG,1949.94
2015-01-01,Chievo,ITA,1543.31
2015-01-01,Clermont,FRA,1401.04
2015-01-01,Cordoba,ESP,1595.25
2015-01-01,Crotone,ITA,1376.41
2015-01-01,Crystal Palace,ENG,1607.67
2015-01-01,Darmstadt,GER,1478.48
2015-01-01,Derby,ENG,1601.6
2015-01-01,Dijon,FRA,1526.28
2015-01-01,Dortmund,GER,1800.74
2015-01-01,Eibar,ESP,1661.89
2015-01-01,Ein Frankfurt,GER,1685.08
2015-01-01,Elche,ESP,1622.04
2015-01-01,Empoli,ITA,1531.82
2015-01-01,Erciyesspor,TUR,1444.32
2015-01-01,Eskisehirspor,TUR,1501.69
2015-01-01,Espanol,ESP,1700.46
2015-01-01,Everton,ENG,1758.46
2015-01-01,Evian Thonon Gaillard,FRA,1539.58
2015-01-01,FC Koln,GER,1629.36
2015-01-01,Fenerbahce,TUR,1699.39
2015-01-01,Fiorentina,ITA,1705.57
2015-01-01,Fortuna Dusseldorf,GER,1546.3
2015-01-01,Freiburg,GER,1645.76
2015-01-01,Frosinone,ITA,1400.47
2015-01-01,Fulham,ENG,1501.53
2015-01-01,Galatasaray,TUR,1635.93
2015-01-01,Gaziantepspor,TUR,1461.3
2015-01-01,Genclerbirligi,TUR,1532.55
2015-01-01,Genoa,ITA,1615.69
2015-01-01,Getafe,ESP,1688.04
2015-01-01,Girona,ESP,1597.84
2015-01-01,Granada,ESP,1645.46
2015-01-01,Greuther Furth,GER,1514.87
2015-01-01,Guingamp,FRA,1548.81
2015-01-01,Hamburg,GER,1612.71
2015-01-01,Hannover,GER,1681.85
2015-01-01,Heidenheim,GER,1445.28
2015-01-01,Hertha,GER,1627.6
2015-01-01,Hoffenheim,GER,1717.84
2015-01-01,Huddersfield,ENG,1432.3
2015-01-01,Hull,ENG,1575.98
2015-01-01,Ingolstadt,GER,1561.52
2015-01-01,Inter,ITA,1654.87
2015-01-01,Ipswich,ENG,1585.7
2015-01-01,Juventus,ITA,1891.61
2015-01-01,Kaiserslautern,GER,1554.59
2015-01-01,Karabukspor,TUR,1505.39
2015-01-01,Karlsruhe,GER,1536.39
2015-01-01,Kasimpasa,TUR,1527.48
2015-01-01,Konyaspor,TUR,1457.67
2015-01-01,La Coruna,ESP,1626.01
2015-01-01,Las Palmas,ESP,1629.81
2015-01-01,Lazio,ITA,1667.72
2015-01-01,Le Havre,FRA,1447.96
2015-01-01,Leeds,ENG,1412.3
2015-01-01,Leganes,ESP,1518.22
2015-01-01,Leicester,ENG,1593.65
2015-01-01,Lens,FRA,1513.57
2015-01-01,Levante,ESP,1693.86
2015-01-01,Leverkusen,GER,1800.93
2015-01-01,Lille,FRA,1635.74
2015-01-01,Liverpool,ENG,1802.87
2015-01-01,Livorno,ITA,1447.8
2015-01-01,Lorient,FRA,1559.81
2015-01-01,Lyon,FRA,1735.82
2015-01-01,Mainz,GER,1679.6
2015-01-01,Malaga,ESP,1779.93
2015-01-01,Mallorca,ESP,1543.12
2015-01-01,Man City,ENG,1945.55
2015-01-01,Man United,ENG,1851.94
2015-01-01,Marseille,FRA,1709.28
2015-01-01,Mersin Idman Yurdu,TUR,1455.45
2015-01-01,Metz,FRA,1506.35
2015-01-01,MGladbach,GER,1770.73
2015-01-01,Middlesbrough,ENG,1567.85
2015-01-01,Milan,ITA,1712.78
2015-01-01,Modena,ITA,1451.58
2015-01-01,Monaco,FRA,1730.66
2015-01-01,Montpellier,FRA,1600.24
2015-01-01,Munich 1860,GER,1447.85
2015-01-01,Nancy,FRA,1503.33
2015-01-01,Nantes,FRA,1595.44
2015-01-01,Napoli,ITA,1747.63
2015-01-01,Newcastle,ENG,1667.12
2015-01-01,Nice,FRA,1544.58
2015-01-01,Nimes,FRA,1395.65
2015-01-01,Norwich,ENG,1565.14
2015-01-01,Nottm Forest,ENG,1461.46
2015-01-01,Numancia,ESP,1573.48
2015-01-01,Nurnberg,GER,1532.13
2015-01-01,Osasuna,ESP,1605.69
2015-01-01,Paderborn,GER,1602.02
2015-01-01,Palermo,ITA,1589.82
2015-01-01,Paris SG,FRA,1848.32
2015-01-01,Parma,ITA,1561.17
2015-01-01,Perugia,ITA,1366.64
2015-01-01,Pescara,ITA,1422.47
2015-01-01,QPR,ENG,1577.73
2015-01-01,RB Leipzig,GER,1462.88
2015-01-01,Reading,ENG,1476.14
2015-01-01,Real Madrid,ESP,2086.31
2015-01-01,Recreativo,ESP,1508.79
2015-01-01,Reims,FRA,1571.99
2015-01-01,Rennes,FRA,1580.03
2015-01-01,Rizespor,TUR,1448.64
2015-01-01,Roma,ITA,1774.89
2015-01-01,Sampdoria,ITA,1625.92
2015-01-01,Santander,ESP,1502.79
2015-01-01,Sassuolo,ITA,1560.38
2015-01-01,Schalke 04,GER,1770.29
2015-01-01,Sevilla,ESP,1819.79
2015-01-01,Sivasspor,TUR,1477.61
2015-01-01,Sochaux,FRA,1544.8
2015-01-01,Sociedad,ESP,1732.54
2015-01-01,Southampton,ENG,1753.29
2015-01-01,Sp Gijon,ESP,1641.65
2015-01-01,Spezia,ITA,1443.2
2015-01-01,St Etienne,FRA,1692.21
2015-01-01,St Pauli,GER,1410.34
2015-01-01,Stoke,ENG,1691.77
2015-01-01,Stuttgart,GER,1623.39
2015-01-01,Sunderland,ENG,1646.37
2015-01-01,Swansea,ENG,1681.75
2015-01-01,Tenerife,ESP,1514.08
2015-01-01,Torino,ITA,1613.43
2015-01-01,Tottenham,ENG,1767.54
2015-01-01,Toulouse,FRA,1555.17
2015-01-01,Trabzonspor,TUR,1587.4
2015-01-01,Troyes,FRA,1531.06
2015-01-01,Udinese,ITA,1603.85
2015-01-01,Union Berlin,GER,1464.45
2015-01-01,Valencia,ESP,1823.66
2015-01-01,Valenciennes,FRA,1444.87
2015-01-01,Valladolid,ESP,1662.09
2015-01-01,Vallecano,ESP,1670.57
2015-01-01,Verona,ITA,1561.23
2015-01-01,Vicenza,ITA,1352.88
2015-01-01,Villarreal,ESP,1813.11
2015-01-01,Watford,ENG,1539.5
2015-01-01,Werder Bremen,GER,1633.35
2015-01-01,West Brom,ENG,1607.58
2015-01-01,West Ham,ENG,1704.92
2015-01-01,Wigan,ENG,1459.71
2015-01-01,Wolfsburg,GER,1809.24
2015-01-01,Wolves,ENG,1452.71
2015-01-01,Zaragoza,ESP,1585.76
2015-01-15,Ajaccio,FRA,1444.08
2015-01-15,Akhisar Belediyespor,TUR,1452.85
2015-01-15,Alaves,ESP,1525.11
2015-01-15,Albacete,ESP,1475.68
2015-01-15,Almeria,ESP,1653.74
2015-01-15,Angers,FRA,1470.91
2015-01-15,Arles,FRA,1338.69
2015-01-15,Arsenal,ENG,1849.93
2015-01-15,Aston Villa,ENG,1609.8
2015-01-15,Atalanta,ITA,1565.56
2015-01-15,Ath Bilbao,ESP,1753.71
2015-01-15,Ath Madrid,ESP,1956.2
2015-01-15,Augsburg,GER,1718.29
2015-01-15,Auxerre,FRA,1441.06
2015-01-15,Balikesirspor,TUR,1400.8
2015-01-15,Barcelona,ESP,2012.35
2015-01-15,Bari,ITA,1407.0
2015-01-15,Bastia,FRA,1553.65
2015-01-15,Bayern Munich,GER,2060.95
2015-01-15,Besiktas,TUR,1664.1
2015-01-15,Betis,ESP,1657.48
2015-01-15,Birmingham,ENG,1451.18
2015-01-15,Blackburn,ENG,1511.29
2015-01-15,Blackpool,ENG,1357.62
2015-01-15,Bochum,GER,1438.89
2015-01-15,Bologna,ITA,1500.41
2015-01-15,Bolton,ENG,1487.6
2015-01-15,Bordeaux,FRA,1621.85
2015-01-15,Bournemouth,ENG,1570.91
2015-01-15,Braunschweig,GER,1559.5
2015-01-15,Brentford,ENG,1487.44
2015-01-15,Brescia,ITA,1390.88
2015-01-15,Brest,FRA,1523.44
2015-01-15,Brighton,ENG,1487.86
2015-01-15,Burnley,ENG,1602.21
2015-01-15,Bursaspor,TUR,1561.22
2015-01-15,Buyuksehyr,TUR,1507.19
2015-01-15,Caen,FRA,1503.41
2015-01-15,Cagliari,ITA,1538.11
2015-01-15,Cardiff,ENG,1495.71
2015-01-15,Carpi,ITA,1498.2
2015-01-15,Catania,ITA,1444.65
2015-01-15,Celta,ESP,1721.4
2015-01-15,Cesena,ITA,1433.46
2015-01-15,Charlton,ENG,1443.95
2015-01-15,Chelsea,ENG,1936.41
2015-01-15,Chievo,ITA,1545.95
2015-01-15,Clermont,FRA,1400.1
2015-01-15,Cordoba,ESP,1617.76
